Location,Ontario producer,LCBO convenience outlet,Authorized to sell beer,Authorized to sell wine,Authorized to sell cider,Authorized to sell spirits,Authorized to sell ready-to-drink,Accepts empties,Bottle return only,Address,City/Town,Postal code,Latitude,Longitude
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2375 Vincent Massey Drive,Cornwall,K6H5R6,45.03243,-74.7892
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,27523 Highway 62,Bancroft,K0L1L0,45.0404392,-77.8301648
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,10 Hops Drive,Haliburton,K0M1S0,45.0469239,-78.5335267
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1400 Boundary Road,Cornwall,K6H7P8,45.05691,-74.6867
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,132 Hastings Street North,Bancroft,K0L1C0,45.06214,-77.8572
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,20387 County Road 2,South Lancaster,K0C2C0,45.13445,-74.4944
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,324 Coleman Street,Carleton Place,K7C0B5,45.13975,-76.1276
Esso Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,3456 Highway 138,Monkland,K0C1V0,45.19382038,-74.88256341
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,234 Christian Street,Almonte,K0A1A0,45.2206266,-76.2046598
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5899 Hazeldean Road,Stittsville,K2S1B9,45.27792,-75.921
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2 Racine Street,Casselman,K0A1M0,45.3061553,-75.081741
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,134 Highway 60,Huntsville,P1H1C2,45.338178,-79.197978
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2545 Baseline Road,Ottawa,K2H7B3,45.34213,-75.7863
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1660 Merivale Road,Nepean,K2G3K4,45.3434,-75.7296
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1515 County Road 30,Dunvegan,K0C1J0,45.3476,-74.8061
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1584 Merivale Road,Nepean,K2G3K1,45.35017,-75.7336
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1600 Bank Street,Ottawa,K1V7Y6,45.37774,-75.6676
Esso Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,3084 Kinburn Side Road,Kinburn,K0A2H0,45.39153276,-76.18865035
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,135 Nobel Road,Nobel,P0G1G0,45.4018685,-80.064184
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,450 Bank Street,Ottawa,K2P1Z1,45.41181,-75.6938
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2075 Montreal Road,Ottawa,K1J6M6,45.44785,-75.5939
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3869 Innes Road,Ottawa,K1C1T1,45.45309,-75.512
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,4042 Innes Road,Orleans,K1C1T1,45.45505,-75.5051
Esso Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,3798 Dunrobin Road,Woodlawn,K0A3M0,45.46268793,-76.07463785
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,9 Raglan Street South,Renfrew,K7V1P8,45.47463,-76.6872
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,19537 Opeongo Line,Barry's Bay,K0J1B0,45.48806,-77.6781
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1270 Trim Road,Orleans,K4A3P7,45.49074,-75.4799
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,297 Edwards Street,Rockland,K4K1H6,45.55159,-75.2952
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,345 County Road 17,Hawkesbury,K6A2Y2,45.58799,-74.5855
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,901 Mcgill Street,Hawkesbury,K6A3K8,45.60011,-74.6185
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,62 St. David Street North,Noelville,P0M2N0,46.1362165,-80.4313134
Esso Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,37069 Highway 17,Rolphton,K0J2H0,46.1715,-77.697257
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,498 Causley Street,Blind River,P0R1B0,46.18495,-82.9274
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,10 Lakeside Drive,Thessalon,P0R1L0,46.26485,-83.5702
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,331 Highway 17,McKerrow,P0P1M0,46.28636,-81.7755
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,9142 Highway 17,Bruce Mines,P0R1C0,46.30056,-83.7938
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,890 Highway 17,North Bay,P1B8G4,46.30264,-79.3982
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1575 Seymour Street,North Bay,P1A0C5,46.3103999,-79.4356555
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2660 Trout Lake Road,North Bay,P1B7S7,46.3241,-79.4305
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1000 Algonquin Avenue,North Bay,P1B4X7,46.32533,-79.4658
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,220 Highway 17,Nairn Centre,P0M2L0,46.32979,-81.5885
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2701 On-11,North Bay,P1B8G3,46.3466,-79.4717
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,225 Highway 108,Elliot Lake,P5A2T1,46.38222,-82.6406
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,105 Regional Road 24,Lively,P3A0B4,46.42227,-81.1419
Esso Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,8824 Highway 17 East,Warren,P0H2N0,46.44184179,-80.31148026
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1813 Regent Street,Sudbury,P3E3Z7,46.45293,-81.006
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,161 Highway 17 East,Wahnapitae,P0M3C0,46.48749,-80.79
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,100 Second Avenue,Coniston,P0M1M0,46.49393,-80.8476
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3 Trunk Road,Sault Ste. Marie,P6A3S2,46.50979,-84.3007
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,442 Bruce Street,Sault Ste. Marie,P6B1R4,46.52012,-84.3201
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,180 Lasalle Boulevard,Sudbury,P3A4Z3,46.5227,-80.984
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1275 Trunk Road,Sault Ste. Marie,P6A6X8,46.53146,-84.2517
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3013 Old Highway 69 North,Val Caron,P3N1R8,46.61081,-81.0079
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3140 Highway 69 North,Val Caron,P3P1G3,46.61306,-81.0063
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,458 Cote Boulevard,Hanmer,P3P1N8,46.6507417,-80.9260848
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,883340 Highway 65E,New Liskeard,P0J1P0,47.50366,-79.6979
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,141 4th Avenue,Englehart,P0J1H0,47.8259145,-79.8844504
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1120 Alloy Drive,Thunder Bay,P7B6C5,48.40911,-89.2571
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1120 John Street Road,Thunder Bay,P7B2A3,48.44488,-89.2659
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2154 Riverside Drive,Timmins,P4R1M9,48.47291,-81.4009
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,4975 Highway 11 & 17,Kakabeka Falls,P0T1W0,48.4771,-89.6358
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,562 Algonquin Boulevard East,Timmins,P4N1B7,48.47722,-81.3183
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,690 River Park Road,Timmins,P4P1B4,48.49597,-81.3561
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,430 Highway 11,Matheson,P0K1N0,48.53318,-80.4631
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,453 Highway 11,Nipigon,P0T2J0,49.0195,-88.3048
Esso Gas and Convenience Store,N,N,N,N,N,N,N,Y,Y,75 Manitou Road,Manitouwadge,P0T2C0,49.1221503,-85.8382449
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,48 Government Road East,Kapuskasing,P5N2W6,49.41339,-82.4189
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1112 Front Street,Hearst,P0L1N0,49.69096,-83.6705
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,804 Main Street,Geraldton,P0T1M0,49.71664,-86.9512
Esso Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,379 Government Street,Dryden,P8N2P4,49.78686,-92.8321
Ethnic Supermarket,N,N,Y,Y,Y,N,Y,N,N,234 Victoria Road South,Guelph,N1E5R1,43.551739,-80.221119
Euro Convenience,N,N,Y,Y,Y,N,Y,N,N,72 Charing Cross Street,Brantford,N3R7S1,43.16017,-80.2684
Euromax Foods,N,N,Y,Y,Y,N,Y,N,N,1001 Langs Drive,Cambridge,N1R7K7,43.4017798,-80.3283924
Euromax Foods,N,N,Y,Y,Y,N,Y,N,N,61 James Snow Parkway,Milton,L9T0R3,43.53945,-79.8565
Euromax Foods,N,N,Y,Y,Y,N,Y,N,N,2550 Hurontario Street,Mississauga,L5B1N5,43.5783921,-79.6159068
Euromax Foods,N,N,Y,Y,Y,N,Y,N,N,20 Polonia Avenue,Brampton,L6Y0K9,43.64256,-79.7615
Euromax Foods,N,N,Y,Y,Y,N,Y,N,N,370 Main Street North,Brampton,L6V4A4,43.69519,-79.7698
Europa Foods,N,N,Y,Y,Y,N,Y,N,N,"430 First Street, Unit 1",London,N5W4N1,43.00144,-81.1948
Evans Mini Mart,N,N,Y,Y,Y,N,Y,N,N,75 Napa Valley Avenue,Woodbridge,L4H1M3,43.81508,-79.6176
Evelyn's Wholegrain Bakery,N,N,Y,Y,Y,N,Y,N,N,125 Jefferson Avenue,Toronto,M6K3E4,43.63946,-79.4218
Everest Fresh Supermarket,N,N,Y,Y,Y,N,Y,N,N,1400 Vincent Massey Drive,Cornwall,K6J5N4,45.02914,-74.7564
Everest Grocery Store,N,N,Y,Y,Y,N,Y,N,N,9733 Tecumseh Road East,Windsor,N8R1A5,42.31367,-82.9193
Evergreen Craft Ales,Y,N,Y,N,Y,N,N,N,N,767 Silver Seven Road,Kanata,K2V0H1,45.30154203,-75.91477871
Evergreen Top Convenience,N,N,Y,Y,Y,N,Y,N,N,370 Highland Road West,Kitchener,N2M5J9,43.43845,-80.512
Everyday Variety,N,N,Y,Y,Y,N,Y,N,N,743 Pharmacy Avenue,Scarborough,M1L3J4,43.71731,-79.2938
Everything Store,N,N,Y,Y,Y,N,Y,N,N,923 Pape Avenue,Toronto,M4K3V3,43.6856968,-79.3471497
Everything Variety,N,N,Y,Y,Y,N,Y,N,N,272 Main Street,Wellington,K0K3L0,43.9518564,-77.3493187
Everything Variety & Pop-Up,N,N,Y,Y,Y,N,Y,N,N,303B Main Street,Wellington,K0K3L0,43.95184,-77.351
Evy's Variety,N,N,Y,Y,Y,N,Y,N,N,947 Lakeshore Road East,Mississauga,L5E1E3,43.57566,-79.5606
Exeter Variety,N,N,Y,Y,Y,N,Y,N,N,18 Wellington Street West,Exeter,N0M1S2,43.35277,-81.4824
Exmouth Convenience,N,N,Y,Y,Y,N,Y,N,N,814 Colborne Road,Sarnia,N7T6V8,42.98575,-82.3886
Express Convenience,N,N,Y,Y,Y,N,Y,N,N,300 Holland Street West,Bradford,L3Z1J2,44.11149,-79.5757
Express Convenience,N,N,Y,Y,Y,N,Y,N,N,299 The Queensway South,Keswick,L4P2B4,44.2236075,-79.4645442
Express Convenience,N,Y,Y,Y,Y,Y,Y,Y,N,6 Lindsay Road,Selwyn,K9J0C5,44.32759085,-78.44205637
Express Convenience Plus,N,N,Y,Y,Y,N,Y,N,N,2555 Victoria Park Avenue,Scarborough,M1T1A3,43.77279,-79.3211
Express Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1331 Warden Avenue,Scarborough,M1R5A8,43.75482,-79.2979
Express Mart,N,N,Y,Y,Y,N,Y,N,N,951 Dundas Street West,Whitby,L1N2N8,43.87527,-78.9613
Express Mart,N,N,Y,Y,Y,N,Y,N,N,29 Duxford Road,Hornell Heights,P0H1P0,46.3597805,-79.4142481
Express Stop & Go,N,N,Y,Y,Y,N,Y,N,N,90 Lincoln Street,Welland,L3C5J7,42.9845095,-79.2584614
Extra Variety,N,N,Y,Y,Y,N,Y,N,N,1110 Cannon Street East,Hamilton,L8L2J6,43.2481,-79.8211
Extras Convenience,N,N,Y,Y,Y,N,Y,N,N,227 Vodden Street East,Brampton,L6V1N2,43.70343,-79.7571
Extras Gift and Smokes,N,N,Y,Y,Y,N,Y,N,N,456 Vodden Street East,Brampton,L6S5Y7,43.71377,-79.7475
Exultet Estates Inc.,Y,N,N,Y,Y,N,N,N,N,1112 Royal Road,Milford,K0K2P0,43.90414265,-77.08890088
EZ Convenience,N,N,Y,Y,Y,N,Y,N,N,764 Dundas Street West,Toronto,M6J1T8,43.65236,-79.4071
EZ Mart,N,N,Y,Y,Y,N,Y,N,N,195 Parkdale Avenue North,Hamilton,L8H5X3,43.24179,-79.7902
EZ Mart,N,N,Y,Y,Y,N,Y,N,N,1565 Barton Street East,Hamilton,L8H2Y3,43.24776822,-79.79517071
Eze'Z / Mel'Z Munchee'Z,N,N,Y,Y,Y,N,Y,N,N,2100 Highway 11,Shebandowan,P0T2T0,48.6226908,-90.1595348
Ezy Pzy Convenience,N,N,Y,Y,Y,N,Y,N,N,216 Second Line West Unit 4,Sault Ste. Marie,P6C2J3,46.5378723,-84.3613383
F A Convenience,N,N,Y,Y,Y,N,Y,N,N,1725 College Avenue,Windsor,N9B1M4,42.30334,-83.0539
F N Good Food,N,N,Y,Y,Y,N,Y,N,N,53 Pembroke Street West,Pembroke,K8A5M5,45.8260745,-77.1140262
F&H Gas And Convenience Store,N,N,Y,Y,Y,N,Y,N,N,60 Adelaide Street North,London,N6B3G6,42.9782979,-81.2263641
Fair Mart,N,N,Y,Y,Y,N,Y,N,N,401 Vaughan Road,York,M6C2P1,43.68902,-79.4322
Fair Price Supermarket,N,N,Y,Y,Y,N,Y,N,N,1555 Dundas Street West,Toronto,M6K1T9,43.64965,-79.4338
Fair/Square,N,N,Y,Y,Y,N,Y,N,N,475 Dundas Street,Woodstock,N4S1C2,43.13028,-80.7571
Fairground General Store,N,N,Y,Y,Y,N,Y,N,N,529 The Fairground Road,Langton,N0E1G0,42.64942,-80.6598
Fairweather Brewing Company,Y,N,Y,N,Y,N,N,N,N,5 Ofield Road,Hamilton,L8S2M4,43.25527044,-79.9317929
Falcon Brewing Company Inc.,Y,N,Y,N,Y,N,N,N,N,30 Barr Road,Ajax,L1S7H1,43.82996442,-79.02294778
Fallsview Market,N,N,Y,Y,Y,N,Y,N,N,6380 Fallsview Boulevard,Niagara Falls,L2G7Y6,43.08389,-79.08
Fam Burger,N,N,Y,Y,Y,N,Y,N,N,3271 Dufferin Street,North York,M6A2T4,43.7210816,-79.4557655
Family Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1145 Tecumseh Road East,Windsor,N8W1B5,42.29963,-83.0078
Family Food Fair,N,N,Y,Y,Y,N,Y,N,N,1277 York Mills Road,North York,M3A1Z5,43.76082,-79.3251
Family Food Mart,N,N,Y,Y,Y,N,Y,N,N,2468 Eglinton Avenue West,York,M6M5E2,43.69202,-79.4684
Family Mart,N,N,Y,Y,Y,N,Y,N,N,105 Sutherland Drive,Kingston,K7K5V6,44.26902,-76.4801
Family Mart #2,N,N,Y,Y,Y,N,Y,N,N,1240 Talbot Street,St. Thomas,N5P1G9,42.77803,-81.1501
Family Mini Mart,N,N,Y,Y,Y,N,Y,N,N,98 Lamb Avenue,Toronto,M4J4M6,43.68061,-79.3289
Family News Stand,N,N,Y,Y,Y,N,Y,N,N,506 Days Road,Kingston,K7M5R4,44.23656,-76.5703
Family Plus Convenience Store,N,N,Y,Y,Y,N,Y,N,N,160 Guelph Street,Georgetown,L7G4A6,43.65028,-79.909
Family Variety,N,N,Y,Y,Y,N,Y,N,N,301 Queen Street South,Bolton,L7E2B2,43.87422,-79.7296
Famous Convenience Plus,N,N,Y,Y,Y,N,Y,N,N,2371 Weston Road,York,M9N1Z8,43.70666,-79.5315
Fan's Convenience,N,N,Y,Y,Y,N,Y,N,N,2 Glenabbey Drive,Courtice,L1E1C1,43.89398,-78.8072
Fanshawe Mini Mart,N,N,Y,Y,Y,N,Y,N,N,1631 Oxford Street East,London,N5V2Z4,43.01159,-81.1958
Farah Convenience Store,N,N,Y,Y,Y,N,Y,N,N,654 Montreal Road,Ottawa,K1K0T3,45.4429346,-75.6403638
Farah Foods,N,N,Y,Y,Y,N,Y,N,N,1 Hartley Avenue,Paris,N3L0M3,43.19402,-80.3845
Farah Foods,N,N,Y,Y,Y,N,Y,N,N,170 University Avenue West,Waterloo,N2L3E9,43.47172467,-80.53861777
Farah Market Express,N,N,Y,Y,Y,N,Y,N,N,601 Doon Village Road,Kitchener,N2P1T6,43.39814,-80.4474
Farah Market Express,N,N,Y,Y,Y,N,Y,N,N,210 Lorraine Avenue,Kitchener,N2B3T4,43.46115,-80.4403
Farah Market Express,N,N,Y,Y,Y,N,Y,N,N,242 King Street North,Waterloo,N2J2Y7,43.47578,-80.5246
Farah Market Express,N,N,Y,Y,Y,N,Y,N,N,255 Woolwich Street,Waterloo,N2K0C8,43.49358,-80.4815
Farah Market Express,N,N,Y,Y,Y,N,Y,N,N,484 Woodlawn Road East,Guelph,N1E1B9,43.5778185,-80.2609245
Fargo General Store,N,Y,Y,Y,Y,Y,Y,Y,N,1202 Highway 96,Wolfe Island,K0H2Y0,44.19374123,-76.44048963
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,1415 Beaverbrook Avenue,London,N6H0J1,42.98937311,-81.29807285
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,3061 Walkers Line,Burlington,L7M0W3,43.3935164,-79.8247824
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,2441 Lakeshore Road West,Oakville,L6L5V5,43.3957948,-79.7113044
Farm Boy,N,N,Y,N,Y,N,Y,N,N,1907 Ironoak Way,Oakville,L6H0N1,43.4926081,-79.68001066
Farm Boy,N,N,Y,N,Y,N,Y,N,N,841 Browns Line,Etobicoke,M8W3V7,43.61009797,-79.54750813
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,29 Bathurst Street,Toronto,M5V2P1,43.6414971,-79.4013247
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,2149 Yonge Street,Toronto,M4S0C5,43.7040243,-79.3974291
Farm Boy,N,N,Y,N,Y,N,Y,N,N,1355 Kingston Road,Pickering,L1V1B8,43.8351828,-79.08886962
Farm Boy,N,N,Y,N,Y,N,Y,N,N,360 Taunton Road East,Whitby,L1R0H4,43.92144795,-78.94857264
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,18075 Yonge Street,Newmarket,L3Y8W3,44.0689524,-79.48226493
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,940 Futures Gate,Kingston,K7M8T5,44.25718579,-76.55364231
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,6315 Hazeldean Road,Stittsville,K2S0T2,45.2664584,-75.9409909
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,1581 Greenbank Road,Nepean,K2J4Y6,45.2741156,-75.7470699
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,2950 Bank Street,Ottawa,K1T1N8,45.34580079,-75.6259597
Farm Boy,N,N,Y,N,Y,N,Y,N,N,1642 Merivale Road,Nepean,K2G4A1,45.34644372,-75.73197007
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,830 Belfast Road,Ottawa,K1G0Z4,45.412645,-75.6383958
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,2030 Tenth Line Road,Orleans,K4A4X4,45.45850865,-75.48771666
Farm Boy,N,N,Y,Y,Y,N,Y,N,N,3035 St. Joseph Boulevard,Orleans,K1E1E1,45.47779904,-75.51343239
Farm Boy Stone Road,N,N,Y,Y,Y,N,Y,N,N,370 Stone Road West,Guelph,N1G4V9,43.5165159,-80.2366656
Farm League Brewing,Y,N,Y,N,Y,N,N,N,N,295 Ainslie Street South,Cambridge,N1R3L3,43.35113193,-80.31318362
Farm to Family,N,N,Y,Y,Y,N,Y,N,N,160 Huron Road,Mitchell,N0K1N0,43.4748,-81.2142
Farmer's Dell Convenience Store,N,N,Y,Y,Y,N,Y,N,N,117 King George Road,Brantford,N3R5K7,43.16901,-80.2768
Farmgate Cider,Y,N,N,Y,Y,N,N,N,N,250 Comba Lane,Pakenham,K0A2X0,45.30525232,-76.28834841
Farmgate Cider,Y,N,N,Y,Y,N,N,N,N,4547 Mohr's Road,Arnprior,K7S3G7,45.41381496,-76.24139249
Farneem Convenience Store,N,N,Y,Y,Y,N,Y,N,N,101 Humber Boulevard,York,M6N2H5,43.68008,-79.4821
Fas Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1539 Jane Street,North York,M9N2R3,43.69798,-79.5022
Fassifern General Store & Service Centre,N,N,Y,Y,Y,N,Y,N,N,2462 County Road 34,Alexandria,K0C1A0,45.35404,-74.6772
Fast Freddy's Convenience,N,Y,Y,Y,Y,Y,Y,Y,N,5380 Old Highway 2,Shannonville,K0K3A0,44.19291187,-77.25017377
Fat Lou Brew Co.,Y,N,Y,N,Y,N,N,N,N,791 Front Road,Lasalle,N9J2A3,42.23961964,-83.10145291
Fay Mart,N,N,Y,Y,Y,N,Y,N,N,3395 Howard Avenue,Windsor,N9E3N6,42.26794,-83.0018
Featherstone Winery,Y,N,N,Y,Y,N,N,N,N,3678 Victoria Avenue,Vineland,L0R2C0,43.14011316,-79.39425559
Feliza African Grocery & Beauty Store,N,N,Y,Y,Y,N,Y,N,N,689 Oxford Street West,London,N6H1V1,42.9829282,-81.2982419
Fenelon Falls Brewing,Y,N,Y,N,Y,N,N,N,N,4 May Street,Fenelon Falls,K0M1N0,44.53662446,-78.73806585
Feng Convenience,N,N,Y,Y,Y,N,Y,N,N,205 Sheppard Avenue East,North York,M2N3A8,43.76399,-79.3986
Fenlon's Market,N,N,Y,Y,Y,N,Y,N,N,114 Confederation Drive,St. Thomas,N5P3P4,42.79384,-81.167
Ferm Farm,Y,N,Y,N,N,N,N,N,N,1001 McGregor Bay Road,Keene,K0L2G0,44.2292612,-78.1744047
Fernwood Estates,Y,N,N,Y,Y,N,N,N,N,6080 3rd Line Road,Bainsville,K0C1E0,45.18382741,-74.41523687
Ferox Estate Winery,Y,N,N,Y,Y,N,N,N,N,1829 Concession 4 Road,Niagara-on-the-Lake,L0S1J0,43.23550149,-79.11153687
Fetterley's Gas and Convenience,N,N,N,N,N,N,N,Y,Y,1770 Highway 518,Kearney,P0A1M0,45.5585316,-79.2279837
Feversham's Heritage General Store Ltd.,N,Y,Y,Y,Y,Y,Y,Y,N,137 River Road,Feversham,N0C1C0,44.34043018,-80.37410752
Field Fresh Supermarket,N,N,Y,Y,Y,N,Y,N,N,5661 Steeles Avenue East,Scarborough,M1V5P6,43.8317,-79.265
FieldBird Cider,Y,N,N,Y,Y,N,N,N,N,1385 Highway 62,Bloomfield,K0K1G0,44.00695508,-77.28235321
Fielding Estate Winery,Y,N,N,Y,Y,N,N,N,N,4020 Locust Lane,Lincoln,L3J2B5,43.15369219,-79.49427225
Fill N Chill,N,Y,Y,Y,Y,Y,Y,Y,N,44000 Highway 17,Upsala,P0T2Y0,48.94566315,-90.18625984
Fin City Convenience,N,N,Y,Y,Y,N,Y,N,N,61 Albert Road,Tiverton,N0G2T0,44.29045,-81.5845499
Finch Store,N,N,Y,Y,Y,N,Y,N,N,42 Dewson Street,Toronto,M6H1G5,43.6568416,-79.424779
Finch Weston Smoke and Variety,N,N,Y,Y,Y,N,Y,N,N,2351 Finch Avenue West,North York,M9M2W8,43.75119,-79.5429
Finchdale Plaza,N,N,Y,Y,Y,N,Y,N,N,2544 Finch Avenue West,North York,M9M2G3,43.74904,-79.5599
Fine Balance Brewing Company,Y,N,Y,N,Y,N,N,N,N,677 Innovation Drive,Kingston,K7K7E6,44.27149914,-76.44177866
First Stop Convenience,N,N,Y,Y,Y,N,Y,N,N,2900 Rivard Avenue,Windsor,N8T2J2,42.2976036,-82.9524656
Fish Bay Marina,N,N,Y,Y,Y,N,Y,N,N,502 Lake Nipissing Road,Nipissing Township,P0H1W0,46.1188741,-79.5311032
Five Rows Craft Wine Inc.,Y,N,N,Y,Y,N,N,N,N,361 Tanbark Road,St. Davids,L0S1P0,43.16393169,-79.10881105
Five Star Variety,N,N,Y,Y,Y,N,Y,N,N,1210 Bloor Street West,Toronto,M6H1N2,43.65934,-79.4386
Fixed Gear Brewing,Y,N,Y,N,N,N,N,0,0,20 Alma Street South,Guelph,N1H5W5,43.5356234,-80.261983
Flat Rock Cellars,Y,N,N,Y,Y,N,N,N,N,2727 Seventh Avenue,Jordan Station,L0R1S0,43.12615819,-79.35947766
Flax Convenience Store,N,N,Y,Y,Y,N,Y,N,N,157 Dundas Street East,Mississauga,L5A1W8,43.58388,-79.6128
Flight Risk Brewing,Y,N,Y,N,Y,N,N,N,N,5970 Dwyer Hill Road,Ashton,K0A1B0,45.07855572,-75.90603749
Flora Hall Brewing Inc.,Y,N,Y,N,Y,N,N,N,N,37 Flora Street,Ottawa,K2P1A7,45.41077449,-75.69324762
Flower Bong Variety,N,N,Y,Y,Y,N,Y,N,N,1105 Finch Avenue,Pickering,L1V1J7,43.84307,-79.1038
Flower Convenience,N,N,Y,Y,Y,N,Y,N,N,80 Glen Shields Avenue,Concord,L4K1T7,43.79205,-79.4776
Flowertown Variety & Liquor,N,N,Y,Y,Y,N,Y,N,N,2 Flowertown Avenue,Brampton,L6X2J9,43.68227,-79.7799
Flux Brewing Company,Y,N,Y,N,Y,N,N,N,N,185 Oakland Road,Scotland,N0E1R0,43.0288459,-80.34392559
Flying J,N,N,Y,Y,Y,N,Y,N,N,2000 Clements Road,Pickering,L1W4A1,43.8296649,-79.0497169
Flying Monkeys,Y,N,Y,N,Y,N,N,N,N,107 Dunlop Street East,Barrie,L4M1A6,44.38916307,-79.68672255
Focal Brewing Co.,Y,N,Y,N,Y,N,N,N,N,98 County Road 35 RR 2,Hastings,K0L1Y0,44.28189599,-77.92873533
