Location,Ontario producer,LCBO convenience outlet,Authorized to sell beer,Authorized to sell wine,Authorized to sell cider,Authorized to sell spirits,Authorized to sell ready-to-drink,Accepts empties,Bottle return only,Address,City/Town,Postal code,Latitude,Longitude
649 Mega Convenience,N,N,Y,Y,Y,N,Y,N,N,5651 Steeles Avenue East,Scarborough,M1V5P6,43.83154,-79.2647
685 St. Clair W. Convenience Store,N,N,Y,Y,Y,N,Y,N,N,685 St. Clair Avenue West,Toronto,M6C1A7,43.6816,-79.4255
7 Convenience,N,N,Y,Y,Y,N,Y,N,N,59 Main Street East,Kingsville,N9Y1A1,42.03764,-82.737
7 Day Convenience,N,N,Y,Y,Y,N,Y,N,N,2480 Gerrard Street East,Scarborough,M1N4C3,43.68748,-79.2861
7 Days Convenience,N,N,Y,Y,Y,N,Y,N,N,3228 Weston Road,North York,M9M2T7,43.73882,-79.5402
7 Days Mini Mart,N,N,Y,Y,Y,N,Y,N,N,465 Phillip Street,Waterloo,N2L6C7,43.48469,-80.5403
7 Star Convenience Inc.,N,N,Y,Y,Y,N,Y,N,N,23 Conservation Drive,Brampton,L6Z4R3,43.7259,-79.8129
707 Convenience,N,N,Y,Y,Y,N,Y,N,N,707 Kennedy Road,Scarborough,M1K2C1,43.7278798,-79.2656014
711 Max Convenience Store,N,N,Y,Y,Y,N,Y,N,N,472 Leitch Drive,Cornwall,K6H5P9,45.03611,-74.6962
762 Craft Brewery,Y,N,Y,N,Y,N,N,N,N,162 Russell Street,Madoc,K0K2K0,44.50715766,-77.47549629
77 Convenience,N,N,Y,Y,Y,N,Y,N,N,5925 Grossbeak Drive,Mississauga,L5N6S5,43.56229,-79.7525
77 Food Market,N,N,Y,Y,Y,N,Y,N,N,138 Hallam Street,Toronto,M6H1X1,43.6674,-79.4315
7Day Convenience,N,N,Y,Y,Y,N,Y,N,N,669 Bloor Street West,Toronto,M6G1L1,43.66398,-79.4159
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,138 Erie Street South,Leamington,N8H3B7,42.04716,-82.5996
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,278 Tecumseh Road East,Windsor,N8X2R3,42.2975,-83.0215
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,925 Ottawa Street,Windsor,N8X2E2,42.30811,-83.0166
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,5124 Tecumseh Road East,Windsor,N8T1C1,42.3085,-82.9639
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,971 Wyandotte Street East,Windsor,N9A3K1,42.31888,-83.0228
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,10 Grand Avenue West,Chatham,N7L1B5,42.40731,-82.1911
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,111 Clarence Street,Port Colborne,L3K3G2,42.8863,-79.2546
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1076 Commissioners Road East,London,N5Z4T4,42.9619,-81.2012
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,366 Christina Street North,Sarnia,N7T5V7,42.97856,-82.4037
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,72 Wharncliffe Road North,London,N6H2A3,42.98419,-81.2633
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,6 Crowland Avenue,Welland,L3B1W9,42.99315,-79.2361
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1181 Western Road,London,N6G1G6,43.00151,-81.2768
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,7270 Drummond Road,Niagara Falls,L2G7B5,43.0705,-79.0968
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,4025 Dorchester Road,Niagara Falls,L2E6N6,43.11397,-79.1122
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,17 Clairmont Street,Thorold,L2V1R2,43.12336,-79.1995
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,3 Huron Street,Woodstock,N4S6Y9,43.13193,-80.7476
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,102 Hartzel Road,St. Catharines,L2P1N4,43.15156,-79.2141
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,104 Lake Street,St. Catharines,L2R5X8,43.16471,-79.2504
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,314 Lake Street,St. Catharines,L2N4H4,43.18622,-79.2512
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,622 Upper Wellington Street,Hamilton,L9A3R1,43.23699,-79.8679
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,415 Melvin Avenue,Hamilton,L8H2L4,43.24145,-79.7791
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,735 Guelph Line,Burlington,L7R3N1,43.34551,-79.7946
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,327 Erie Street,Stratford,N5A2N1,43.36395,-80.9885
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,2267 Lakeshore Road West,Oakville,L6L1H1,43.39939,-79.7069
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,256 King Street North,Waterloo,N2J2Y9,43.47668,-80.5248
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,425 University Avenue East,Waterloo,N2K4C9,43.48923658,-80.49285877
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,3965 Thomas Street,Mississauga,L5M7B8,43.54904,-79.7517
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,328 Speedvale Avenue East,Guelph,N1E1N5,43.56689,-80.2584
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,585 Eramosa Road,Guelph,N1E2N4,43.56827,-80.2474
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,6980 Lisgar Drive,Mississauga,L5N8C8,43.57627,-79.7838
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,3260 Lake Shore Boulevard West,Etobicoke,M8V1M4,43.59732,-79.5229
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,2480 Lake Shore Boulevard West,Toronto,M8V1C9,43.61308,-79.4901
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,980 Islington Avenue,Etobicoke,M8Z4P8,43.62906,-79.5174
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,333 Mountainview Road South,Georgetown,L7G6E8,43.63293,-79.8788
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,873 Queen Street West,Toronto,M6J1G4,43.64562,-79.411
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1260 Dundas Street West,Toronto,M6J1X5,43.64976,-79.4246
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,372 Bay Street,Toronto,M5H2W9,43.65102,-79.3815
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,883 Dundas Street West,Toronto,M6J1V8,43.65104,-79.4111
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1730 Bloor Street West,Toronto,M6P1B3,43.65517,-79.4592
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,260 College Street,Toronto,M5T1R7,43.65818,-79.3998
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,3355 Dundas Street West,Toronto,M6S2R8,43.66526,-79.4824
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1033 Bay Street,Toronto,M5S3A5,43.6663,-79.3878
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,334 Bloor Street West,Toronto,M5S1W9,43.66675,-79.4042
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1169 St. Clair Avenue West,Toronto,M6E1B2,43.67777,-79.4428
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,150 Main Street North,Brampton,L6V1N9,43.68855,-79.7629
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1390 Weston Road,York,M6M4S2,43.69104,-79.5013
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1 Eglinton Avenue East,Toronto,M4P3A1,43.70659,-79.3975
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,1718 Wilson Avenue,North York,M3L1A6,43.7205,-79.5135
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,3587 Bathurst Street,Toronto,M6A2E2,43.73257,-79.4323
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,140 Father Tobin Road,Brampton,L6R3P1,43.77143,-79.7564
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,704 Kingston Road,Pickering,L1V1A8,43.81976,-79.1152
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,3711 Rutherford Road,Woodbridge,L4L1A6,43.82581,-79.5545
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,2067 Rutherford Road,Concord,L4K5T6,43.83754,-79.5024
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,245 Wentworth Street West,Oshawa,L1J1M9,43.8696,-78.8516
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,130 Rossland Road East,Ajax,L1S4S7,43.88031,-79.0278
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,268 Broadway,Orangeville,L9W1K9,43.91758,-80.1036
7-Eleven,N,N,Y,Y,Y,N,Y,N,N,212 Government Street,Dryden,P8N2R1,49.78659,-92.8437
9 Finch Convenience,N,N,Y,Y,Y,N,Y,N,N,9 Finch Avenue East,North York,M2N4P9,43.7797684,-79.4147515
99 Minimart,N,N,Y,Y,Y,N,Y,N,N,445 Brock Street North,Whitby,L1N4H8,43.8853133,-78.9440257
A & J Convenience,N,N,Y,Y,Y,N,Y,N,N,25 John Street,Mississauga,L5A1Y5,43.5845,-79.6212
A & L Mini Mart,N,N,Y,Y,Y,N,Y,N,N,839 Bloor Street West,Toronto,M6G1M3,43.66229,-79.4233
A 1 Corner Restaurant & Variety,N,N,Y,Y,Y,N,Y,N,N,4 Concession Street North,Tamworth,K0K3G0,44.4872442,-76.9945432
A Convenience,N,N,Y,Y,Y,N,Y,N,N,1077 North Service Road,Mississauga,L4Y1A6,43.59265,-79.5751
A Hillier Vineyard,Y,N,N,N,N,Y,N,N,N,18130 Loyalist Parkway,Hillier,K0K2J0,43.9583979,-77.4334174
A One Convenience & Sub,N,N,Y,Y,Y,N,Y,N,N,150 Main Street West,Hamilton,L8P1H8,43.2570688,-79.8760562
A Plus Convenience,N,N,Y,Y,Y,N,Y,N,N,15 Brenda Boulevard,Orangeville,L9W3Y5,43.91387,-80.1191
A Plus Convenience,N,N,Y,Y,Y,N,Y,N,N,68 Wellington Street,Port Hope,L1A4H7,43.96724,-78.2883
A Plus Variety Store,N,N,Y,Y,Y,N,Y,N,N,318 Spruce Street,Waterloo,N2L0E9,43.47871,-80.5261
A Quick Stop Variety,N,N,Y,Y,Y,N,Y,N,N,260 Doon S Dr,Kitchener,N2P2R8,43.38198208,-80.42766249
A Quick Stop Variety,N,N,Y,Y,Y,N,Y,N,N,204 Yorkshire Street North,Guelph,N1H5C1,43.54465,-80.2606
A to Z African & Caribbean Groceries,N,N,Y,Y,Y,N,Y,N,N,127 Water Street North,Kitchener,N2H5B1,43.45532,-80.4918
A&A Tecumseh Convenience,N,N,Y,Y,Y,N,Y,N,N,1100 Lesperance Road,Tecumseh,N8N1X2,42.31332,-82.8863
A&D General Store,N,Y,Y,Y,Y,Y,Y,Y,N,364 McIntyre Avenue,Ramore,P0K1R0,48.4337407,-80.32720534
A&D Mart,N,N,Y,Y,Y,N,Y,N,N,2899 Derry Road East,Mississauga,L4T1A6,43.703449,-79.643882
A&E Variety,N,N,Y,Y,Y,N,Y,N,N,1308 Danforth Avenue,Toronto,M4J1M5,43.682211,-79.3296605
A&J Variety,N,N,Y,Y,Y,N,Y,N,N,324 Rawdon Street,Brantford,N3S6H8,43.148694,-80.2493352
A&M Confectionery,N,N,Y,Y,Y,N,Y,N,N,1499 Clementine Boulevard,Ottawa,K1H8E8,45.3828621,-75.6739275
A.J.'s Trading Post,N,Y,Y,Y,Y,Y,Y,Y,N,3677 Highway 61,Slate River,P7J0H2,48.29664746,-89.47128883
A.L. MacDonald Grocery,N,Y,Y,Y,Y,Y,Y,Y,N,19688 County Road 17,Williamstown,K0C2J0,45.14683015,-74.57972953
A.M. Variety,N,N,Y,Y,Y,N,Y,N,N,100 Queen Street North,Kitchener,N2H2H6,43.45404,-80.4867
A1 Convenience Store,N,N,Y,Y,Y,N,Y,N,N,151 Morningside Avenue,Scarborough,M1E3C8,43.76223,-79.1832
A-1 Discount Store,N,N,Y,Y,Y,N,Y,N,N,2412 Lake Shore Boulevard West,Etobicoke,M8V1C4,43.61467,-79.4892
A1 India Bazaar,N,N,Y,Y,Y,N,Y,N,N,1460 Fairburn Street,Sudbury,P3A1N7,46.5176477,-80.9428117
